egg 8.0(g)/100g 8.0(g)/100g 8.0kcal/100g
milk 23.0(g)/100g 12.0(g)/100g 43.0kcal/100g
milk 23.0(g)/100g 12.0(g)/100g 43.0kcal/100g
milk 2.0(g)/100g 2.0(g)/100g 2.0kcal/100g
milk 23.0(g)/100g 12.0(g)/100g 43.0kcal/100g
egg 8.0(g)/100g 8.0(g)/100g 8.0kcal/100g
water 5.0(g)/100g 0.0(g)/100g 0.0kcal/100g
egg 8.0(g)/100g 8.0(g)/100g 8.0kcal/100g
milk 23.0(g)/100g 12.0(g)/100g 43.0kcal/100g
egg 8.0(g)/100g 8.0(g)/100g 8.0kcal/100g
egg 8.0(g)/100g 8.0(g)/100g 8.0kcal/100g
egg 8.0(g)/100g 8.0(g)/100g 8.0kcal/100g
milk 23.0(g)/100g 12.0(g)/100g 43.0kcal/100g
egg 8.0(g)/100g 8.0(g)/100g 8.0kcal/100g
